Category,Question
unknown,how did serfdom develop in and then leave russia ?
what,what films featured the character popeye doyle ?
unknown,how can i find a list of celebrities ' real names ?
what,what fowl grabs the spotlight after the chinese year of the monkey ?
what,what is the full form of .com ?
what,what contemptible scoundrel stole the cork from my lunch ?
what,what team did baseball 's st. louis browns become ?
what,what is the oldest profession ?
what,what are liver enzymes ?
unknown,name the scar-faced bounty hunter of the old west .
when,when was ozzy osbourne born ?
unknown,why do heavier objects travel downhill faster ?
who,who was the pride of the yankees ?
who,who killed gandhi ?
what,what is considered the costliest disaster the insurance industry has ever faced ?
what,what sprawling u.s. state boasts the most airports ?
what,what did the only repealed amendment to the u.s. constitution deal with ?
unknown,how many jews were executed in concentration camps during wwii ?
what,what is `` nine inch nails '' ?
what,what is an annotated bibliography ?
what,what is the date of boxing day ?
what,what articles of clothing are tokens in monopoly ?
unknown,name 11 famous martyrs .
what,what 's the olympic motto ?
what,what is the origin of the name ` scarlett ' ?
what,what 's the second-most-used vowel in english ?
who,who was the inventor of silly putty ?
what,what is the highest waterfall in the united states ?
unknown,name a golf course in myrtle beach .
unknown,which two states enclose chesapeake bay ?
what,what does the abbreviation aids stand for ?
what,what does a spermologer collect ?
unknown,how many points make up a perfect fivepin bowling score ?
unknown,which company that manufactures video-game hardware sells the `` super system '' ?
unknown,how many community chest cards are there in monopoly ?
what,what do mormons believe ?
when,when did the neanderthal man live ?
what,in what religion was isis the nature goddess ?
unknown,where do the adventures of `` the swiss family robinson '' take place ?
what,what relative of the racoon is sometimes known as the cat-bear ?
unknown,how can i register my website in yahoo for free ?
what,what was cash-conscious colonel edwin l. drake the first to drill ?
unknown,how many people in the world speak french ?
unknown,how many inches over six feet is the venus de milo ?
unknown,how do they find or choose witnesses to an execution ?
what,what 1920s cowboy star rode tony the wonder horse ?
what,what cocktail inspired john doxat to write the book stirred-not shaken ?
what,what isps exist in the caribbean ?
unknown,how do you ask a total stranger out on a date ?
what,what weapon is the mythological character apollo most proficient with ?
what,what country do the galapagos islands belong to ?
what,what is ethology ?
who,who was the prophet of the muslim people ?
unknown,where did the term `` 86ed '' come from ?
who,who is snoopy 's arch-enemy ?
what,what is the nature of learning ?
what,what 's the only color johnny cash wears on stage ?
what,what 's the term for a young fox ?
what,what u.s. state lived under six flags ?
what,what is the kashmir issue ?
unknown,where is the loop ?
what,what does `` extended definition '' mean and how would one write a paper on it ?
what,what country 's capital is tirana ?
what,what is titanium ?
who,who do herb and tootsie live next door to ?
unknown,which city has the oldest relationship as a sisterðcity with los angeles ?
what,what is a caldera ?
unknown,why do people get calluses ?
what,what are the names of the tourist attractions in reims ?
what,what are cushman and wakefield known for ?
what,what body of water does the danube river flow into ?
who,who is the founder of scientology ?
what,what does the six-footed musca domestica become when it enters a house ?
what,what is the history of skateboarding ?
who,who starred in singing in the rain and the singing nun ?
unknown,how do i make fuel bricks from recycled newspaper ?
what,what 19th-century painter died in the marquesas islands ?
what,the corpus callosum is in what part of the body ?
unknown,how do i log on to home page at headquarters u.s. european command ?
what,"what country did the nazis occupy for 1 , cd nns in nnp nnp nnp ."
what,what is nebraska 's most valuable resource ?
unknown,how many species of the great white shark are there ?
what,what is the origin of head lice ?
what,what is the nickname for the state of mississippi ?
what,what was the first domesticated bird ?
unknown,how many villi are found in the small intestine ?
what,what country did king wenceslas rule ?
what,what is a fear of shadows ?
who,who were the five marx brothers ?
unknown,in which year was new zealand excluded from the anzus alliance ?
when,when did cnn begin broadcasting ?
what,what causes the body to shiver in cold temperatures ?
what,what are bear and bull markets ?
what,what j.r.r. tolkien book features bilbo baggins as the central character ?
what,what is `` dew point '' ?
what,what is the meaning of jesus ?
what,what company 's logo is a `` w '' in a circle ?
what,what is the definition of a cascade ?
when,when did rococo painting and architecture flourish ?
what,what country 's national passenger rail system is called via ?
who,who invented make-up ?
what,what is the origin of the word `` attic '' ?
what,what did delilah do to samson 's hair ?
what,what kind of animals were in the paleozoic era ?
unknown,which of the following was rhodes scholar ?
who,who comprised the now-defunct comic book team known as the champions ?
unknown,how do you make a paintball ?
what,what u.s. state is fort knox in ?
what,what is a female rabbit called ?
unknown,where is the highest point in japan ?
unknown,where do chihuahuas come from ?
unknown,where does barney rubble go to work after he drops fred off in the `` flintstones '' cartoon series ?
